Physical tunnel reservation:
s t k r
11 10 0 0.061800438985
11 10 1 0.0
11 10 2 0.0
11 1 0 0.0
11 1 1 0.0
11 1 2 0.0
11 0 0 0.0
11 0 1 0.01404096884
11 0 2 0.01404096884
11 3 0 0.003715797298
11 3 1 0.003715797298
11 3 2 0.0
11 2 0 0.005414519179
11 2 1 0.005414519179
11 2 2 0.0
11 5 0 0.002001513923
11 5 1 0.002001513923
11 5 2 0.0
11 4 0 0.001386673992
11 4 1 0.001386673992
11 4 2 0.0
11 7 0 0.005112374899
11 7 1 0.005112374899
11 7 2 0.0
11 6 0 0.002887198597
11 6 1 0.002887198597
11 6 2 0.237947371479
11 9 0 0.139207169841
11 9 1 0.0
11 9 2 0.0
11 8 0 0.006490646168
11 8 1 0.006490646168
11 8 2 0.0
10 11 0 0.185235118521
10 11 1 0.0
10 11 2 0.0
10 1 0 0.0
10 1 1 0.068572127199
10 1 2 0.068572127199
10 0 0 0.061850933752
10 0 1 0.061850933752
10 0 2 0.0
10 3 0 0.0
10 3 1 0.0
10 3 2 0.0
10 2 0 0.049235565874
10 2 1 0.049235565874
10 2 2 0.0
10 5 0 0.018200262546
10 5 1 0.018200262546
10 5 2 0.0
10 4 0 0.012609370552
10 4 1 0.012609370552
10 4 2 0.0
10 7 0 0.046488092999
10 7 1 0.046488092999
10 7 2 0.0
10 6 0 0.22611687248
10 6 1 0.0
10 6 2 0.0
10 9 0 0.052708266974
10 9 1 0.0
10 9 2 0.0
10 8 0 0.161930330047
10 8 1 0.0
10 8 2 0.110105963324
1 11 0 0.00531850169
1 11 1 0.00531850169
1 11 2 0.0
1 10 0 0.0
1 10 1 0.003399770211
1 10 2 0.003399770211
1 0 0 0.579660160584
1 0 1 0.0
1 0 2 0.0
1 3 0 0.0
1 3 1 0.0
1 3 2 0.0
1 2 0 0.0
1 2 1 0.0
1 2 2 0.0
1 5 0 0.002794442793
1 5 1 0.002794442793
1 5 2 0.0
1 4 0 0.271325230888
1 4 1 0.0
1 4 2 0.0
1 7 0 0.007137716619
1 7 1 0.007137716619
1 7 2 0.0
1 6 0 0.00403100434
1 6 1 0.00403100434
1 6 2 0.0
1 9 0 0.0
1 9 1 0.0
1 9 2 0.0
1 8 0 0.00906201011
1 8 1 0.00906201011
1 8 2 0.0
0 11 0 0.048114211242
0 11 1 0.048114211242
0 11 2 0.0
0 10 0 0.0
0 10 1 0.041741422945
0 10 2 0.041741422945
0 1 0 0.377814601918
0 1 1 0.0
0 1 2 0.0
0 3 0 0.0
0 3 1 0.136526707508
0 3 2 0.0
0 2 0 0.579660160584
0 2 1 0.0
0 2 2 0.0
0 5 0 0.034309383073
0 5 1 0.034309383073
0 5 2 0.0
0 4 0 0.0
0 4 1 0.0
0 4 2 0.0
0 7 0 0.087634878182
0 7 1 0.087634878182
0 7 2 0.0
0 6 0 0.049491538136
0 6 1 0.049491538136
0 6 2 0.0
0 9 0 0.099360551432
0 9 1 0.099360551432
0 9 2 0.169471738232
0 8 0 0.060175904897
0 8 1 0.060175904897
0 8 2 0.0
3 11 0 0.005086561347
3 11 1 0.005086561347
3 11 2 0.0
3 10 0 0.003251505923
3 10 1 0.003251505923
3 10 2 0.0
3 1 0 0.0
3 1 1 0.010069320809
3 1 2 0.010069320809
3 0 0 0.0
3 0 1 0.018748592446
3 0 2 0.018748592446
3 2 0 0.40994570998
3 2 1 0.0
3 2 2 0.0
3 5 0 0.0
3 5 1 0.002672576889
3 5 2 0.002672576889
3 4 0 0.187018248293
3 4 1 0.0
3 4 2 0.0
3 7 0 0.014919193559
3 7 1 0.0
3 7 2 0.0
3 6 0 0.014919193559
3 6 1 0.0
3 6 2 0.003855211874
3 9 0 0.007739827698
3 9 1 0.007739827698
3 9 2 0.0
3 8 0 0.008666815025
3 8 1 0.008666815025
3 8 2 0.0
2 11 0 0.017232008556
2 11 1 0.017232008556
2 11 2 0.0
2 10 0 0.011015295807
2 10 1 0.011015295807
2 10 2 0.0
2 1 0 0.03411236206
2 1 1 0.0
2 1 2 0.03411236206
2 0 0 0.579660160584
2 0 1 0.0
2 0 2 0.0
2 3 0 0.080503884129
2 3 1 0.0
2 3 2 0.0
2 5 0 0.579660160584
2 5 1 0.0
2 5 2 0.0
2 4 0 0.006272744206
2 4 1 0.006272744206
2 4 2 0.0
2 7 0 0.023126286505
2 7 1 0.023126286505
2 7 2 0.0
2 6 0 0.013060501871
2 6 1 0.013060501871
2 6 2 0.0
2 9 0 0.026220617035
2 9 1 0.026220617035
2 9 2 0.0
2 8 0 0.029361020237
2 8 1 0.110430495323
2 8 2 0.0
5 11 0 0.018704848565
5 11 1 0.018704848565
5 11 2 0.0
5 10 0 0.011956786076
5 10 1 0.011956786076
5 10 2 0.0
5 1 0 0.0
5 1 1 0.037027985708
5 1 2 0.037027985708
5 0 0 0.0
5 0 1 0.068944333619
5 0 2 0.068944333619
5 3 0 0.0
5 3 1 0.018245405393
5 3 2 0.018245405393
5 2 0 0.511161838741
5 2 1 0.0
5 2 2 0.0
5 4 0 0.579660160584
5 4 1 0.0
5 4 2 0.0
5 7 0 0.35107325882
5 7 1 0.360612752381
5 7 2 0.0
5 6 0 0.35107325882
5 6 1 0.0
5 6 2 0.0
5 9 0 0.028461723967
5 9 1 0.028461723967
5 9 2 0.0
5 8 0 0.031870541119
5 8 1 0.031870541119
5 8 2 0.0
4 11 0 0.067242081232
4 11 1 0.067242081232
4 11 2 0.0
4 10 0 0.042983463769
4 10 1 0.042983463769
4 10 2 0.0
4 1 0 0.579660160584
4 1 1 0.0
4 1 2 0.0
4 0 0 0.176424339146
4 0 1 0.0
4 0 2 0.176424339146
4 3 0 0.224779056533
4 3 1 0.07887104634
4 3 2 0.0
4 2 0 0.0
4 2 1 0.0
4 2 2 0.0
4 5 0 0.579660160584
4 5 1 0.027108402442
4 5 2 0.0
4 7 0 0.0
4 7 1 0.0
4 7 2 0.0
4 6 0 0.0
4 6 1 0.0
4 6 2 0.0
4 9 0 0.0
4 9 1 0.0
4 9 2 0.0
4 8 0 0.114571444263
4 8 1 0.114571444263
4 8 2 0.0
7 11 0 0.015116042437
7 11 1 0.015116042437
7 11 2 0.0
7 10 0 0.009662697087
7 10 1 0.009662697087
7 10 2 0.0
7 1 0 0.029923610522
7 1 1 0.029923610522
7 1 2 0.0
7 0 0 0.0
7 0 1 0.0
7 0 2 0.0
7 3 0 0.126854438577
7 3 1 0.126854438577
7 3 2 0.0
7 2 0 0.021485492098
7 2 1 0.021485492098
7 2 2 0.0
7 5 0 0.171690938279
7 5 1 0.171690938279
7 5 2 0.0
7 4 0 0.00550249655
7 4 1 0.00550249655
7 4 2 0.0
7 6 0 0.144867518425
7 6 1 0.0
7 6 2 0.0
7 9 0 0.202654226347
7 9 1 0.0
7 9 2 0.0
7 8 0 0.025755699138
7 8 1 0.025755699138
7 8 2 0.0
6 11 0 0.001523242516
6 11 1 0.001523242516
6 11 2 0.0
6 10 0 0.202654226347
6 10 1 0.0
6 10 2 0.0
6 1 0 0.003015400093
6 1 1 0.003015400093
6 1 2 0.0
6 0 0 0.0
6 0 1 0.0
6 0 2 0.0
6 3 0 0.101101572459
6 3 1 0.101101572459
6 3 2 0.0
6 2 0 0.002165091503
6 2 1 0.002165091503
6 2 2 0.0
6 5 0 0.013955865013
6 5 1 0.0
6 5 2 0.0
6 4 0 0.000554486184
6 4 1 0.000554486184
6 4 2 0.0
6 7 0 0.219706780777
6 7 1 0.0
6 7 2 0.0
6 9 0 0.0
6 9 1 0.002317800536
6 9 2 0.002317800536
6 8 0 0.002595399961
6 8 1 0.002595399961
6 8 2 0.0
9 11 0 0.082240133054
9 11 1 0.0
9 11 2 0.0
9 10 0 0.088686284262
9 10 1 0.0
9 10 2 0.0
9 1 0 0.0
9 1 1 0.060210835554
9 1 2 0.060210835554
9 0 0 0.0
9 0 1 0.0
9 0 2 0.0
9 3 0 0.029668670405
9 3 1 0.029668670405
9 3 2 0.0
9 2 0 0.0
9 2 1 0.0
9 2 2 0.0
9 5 0 0.015981026985
9 5 1 0.015981026985
9 5 2 0.0
9 4 0 0.011071856273
9 4 1 0.011071856273
9 4 2 0.0
9 7 0 0.394372393715
9 7 1 0.168255521235
9 7 2 0.0
9 6 0 0.023052749295
9 6 1 0.023052749295
9 6 2 0.0
9 8 0 0.144530487405
9 8 1 0.0
9 8 2 0.0
8 11 0 0.018339520389
8 11 1 0.018339520389
8 11 2 0.0
8 10 0 0.104429376354
8 10 1 0.0
8 10 2 0.0
8 1 0 0.0
8 1 1 0.023602393208
8 1 2 0.023602393208
8 0 0 0.0
8 0 1 0.015499870946
8 0 2 0.015499870946
8 3 0 0.017889050694
8 3 1 0.017889050694
8 3 2 0.0
8 2 0 0.026067247563
8 2 1 0.026067247563
8 2 2 0.0
8 5 0 0.009635935752
8 5 1 0.009635935752
8 5 2 0.0
8 4 0 0.006675897351
8 4 1 0.006675897351
8 4 2 0.0
8 7 0 0.024612627222
8 7 1 0.024612627222
8 7 2 0.0
8 6 0 0.013899908394
8 6 1 0.013899908394
8 6 2 0.0
8 9 0 0.22611687248
8 9 1 0.0
8 9 2 0.0
Logical sequence reservation:
s t k r
11 10 0 0.0
11 10 1 0.0
11 1 0 0.007540993817
11 0 0 0.0
11 3 0 0.0
11 2 0 0.0
11 5 0 0.0
11 4 0 0.0
11 7 0 0.0
11 6 0 0.0
11 9 0 0.0
11 9 1 0.0
11 8 0 0.0
10 11 0 0.0
10 11 1 0.0
10 1 0 0.0
10 0 0 0.065827078544
10 3 0 0.033788666477
10 2 0 0.0
10 5 0 0.0
10 4 0 0.0
10 7 0 0.0
10 6 0 0.0
10 6 1 0.0
10 9 0 0.0
10 9 1 0.0
10 8 0 0.0
10 8 1 0.0
1 11 0 0.0
1 10 0 0.0
1 0 0 0.0
1 0 1 0.0
1 3 0 0.005187864477
1 2 0 0.007559559752
1 5 0 0.0
1 4 0 0.0
1 4 1 0.0
1 7 0 0.0
1 6 0 0.0
1 9 0 0.00809275341
1 8 0 0.0
0 11 0 0.01718485743
0 10 0 0.0
0 1 0 0.0
0 1 1 0.0
0 3 0 0.063695141693
0 2 0 0.0
0 2 1 0.0
0 5 0 0.0
0 4 0 0.023769971641
0 7 0 0.0
0 6 0 0.0
0 9 0 0.0
0 8 0 0.051084907824
3 11 0 0.0
3 10 0 0.0
3 1 0 0.0
3 0 0 0.0
3 2 0 0.0
3 2 1 0.0
3 5 0 0.0
3 4 0 0.0
3 4 1 0.0
3 7 0 0.0
3 7 1 0.0
3 6 0 0.0
3 6 1 0.0
3 9 0 0.0
3 8 0 0.0
2 11 0 0.0
2 10 0 0.0
2 1 0 0.0
2 0 0 0.0
2 0 1 0.0
2 3 0 0.0
2 3 1 0.0
2 5 0 0.0
2 5 1 0.0
2 4 0 0.0
2 7 0 0.0
2 6 0 0.0
2 9 0 0.0
2 8 0 0.0
5 11 0 0.0
5 10 0 0.0
5 1 0 0.0
5 0 0 0.0
5 3 0 0.0
5 2 0 0.0
5 2 1 0.0
5 4 0 0.0
5 4 1 0.0
5 7 0 0.0
5 7 1 0.0
5 6 0 0.0
5 6 1 0.0
5 9 0 0.0
5 8 0 0.0
4 11 0 0.0
4 10 0 0.0
4 1 0 0.0
4 1 1 0.0
4 0 0 0.071423723644
4 3 0 0.0
4 3 1 0.0
