7 3 0 7-3 no
7 3 1 7-5,5-4,4-3 7-3
6 9 0 6-7,7-9 no
0 7 0 0-2,2-5,5-7 no
1 6 0 1-4,4-5,5-6 no
0 10 0 0-2,2-5,5-6,6-10 no
3 7 0 3-7 no
3 7 1 3-6,6-7 3-7
2 5 0 2-5 no
2 5 1 2-0,0-1,1-4,4-5 2-5
1 11 0 1-4,4-5,5-6,6-10,10-11 no
8 5 0 8-9,9-7,7-5 no
5 8 0 5-6,6-10,10-8 no
4 0 0 4-1,1-0 no
10 8 0 10-8 no
10 8 1 10-11,11-9,9-8 10-8
9 0 0 9-7,7-3,3-2,2-0 no
6 7 0 6-7 no
6 7 1 6-10,10-11,11-9,9-7 6-7
11 5 0 11-9,9-7,7-5 no
10 7 0 10-6,6-7 no
7 6 0 7-6 no
7 6 1 7-9,9-8,8-10,10-6 7-6
6 10 0 6-7,7-9,9-10 no
6 10 1 6-7,7-9,9-10 6-10
0 4 0 0-1,1-4 no
4 10 0 4-5,5-6,6-10 no
3 2 0 3-2 no
3 2 1 3-4,4-1,1-0,0-2 3-2
2 6 0 2-5,5-6 no
8 2 0 8-9,9-7,7-3,3-2 no
5 11 0 5-6,6-10,10-11 no
4 5 0 4-5 no
4 5 1 4-1,1-0,0-2,2-5 4-5
9 3 0 9-7,7-3 no
6 0 0 6-5,5-2,2-0 no
11 0 0 11-10,10-6,6-3,3-2,2-0 no
7 5 0 7-5 no
7 5 1 7-3,3-2,2-5 7-5
0 1 0 0-1 no
0 1 1 0-2,2-5,5-4,4-1 0-1
3 1 0 3-4,4-1 no
2 11 0 2-5,5-6,6-10,10-11 no
7 8 0 7-9,9-8 no
3 11 0 3-6,6-7,7-9,9-11 no
2 1 0 2-5,5-4,4-1 no
8 9 0 8-9 no
8 9 1 8-10,10-11,11-9 8-9
9 4 0 9-7,7-5,5-4 no
5 1 0 5-4,4-1 no
10 3 0 10-6,6-3 no
7 2 0 7-5,5-2 no
11 10 0 11-10 no
11 10 1 11-9,9-8,8-10 11-10
1 5 0 1-4,4-5 no
0 11 0 0-2,2-5,5-6,6-10,10-11 no
3 6 0 3-6 no
3 6 1 3-7,7-6 3-6
1 10 0 1-4,4-5,5-6,6-10 no
8 6 0 8-10,10-6 no
4 1 0 4-1 no
4 1 1 4-5,5-2,2-0,0-1 4-1
10 9 0 10-9 no
10 9 1 10-11,11-9 10-9
9 7 0 9-7 no
9 7 1 9-8,8-10,10-6,6-7 9-7
6 4 0 6-7,7-3,3-4 no
5 4 0 5-4 no
5 4 1 5-2,2-0,0-1,1-4 5-4
11 4 0 11-9,9-7,7-3,3-4 no
10 4 0 10-6,6-5,5-4 no
7 1 0 7-5,5-4,4-1 no
6 11 0 6-7,7-9,9-11 no
11 9 0 11-9 no
11 9 1 11-10,10-8,8-9 11-9
0 5 0 0-2,2-5 no
1 0 0 1-0 no
1 0 1 1-4,4-3,3-2,2-0 1-0
0 8 0 0-2,2-5,5-6,6-10,10-8 no
4 11 0 4-5,5-6,6-10,10-11 no
