s t h tm
0 1 0 1.398733976903
0 2 0 0.071846702157
0 3 0 3.176872589211
0 4 0 1.210525645407
0 5 0 5.454685599936
0 6 0 4.546193726820
0 7 0 0.381167929975
0 8 0 0.199741990753
0 9 0 3.513956845599
0 10 0 1.500223720191
0 11 0 0.533021233286
0 12 0 2.218826408163
0 13 0 4.786940075201
0 14 0 6.359058277180
0 15 0 0.764989320056
0 16 0 0.876390513331
0 17 0 4.880092856852
0 18 0 1.534931374097
0 19 0 1.356210116431
0 20 0 0.829865451945
0 21 0 0.943510153560
0 22 0 0.994848003241
0 23 0 1.595202376732
0 24 0 1.954700469125
0 25 0 0.039755014099
0 26 0 0.414018345292
0 27 0 1.136713711844
0 28 0 4.305128498034
0 29 0 1.043891693456
0 30 0 2.452854735416
0 31 0 5.026292147540
0 32 0 1.619022814794
0 33 0 1.240252350922
0 34 0 1.543687083424
0 35 0 1.037995012949
0 36 0 0.136761650167
0 37 0 4.368135910235
0 38 0 0.129481313810
0 39 0 3.924096997310
0 40 0 0.634688652604
0 41 0 0.840468368510
0 42 0 1.782957996341
0 43 0 10.689280180796
0 44 0 0.329882548886
0 45 0 5.231173622835
0 46 0 1.968907099008
0 47 0 0.452690902204
0 48 0 1.535668604729
0 49 0 1.123533003729
0 50 0 2.563024846251
0 51 0 3.449799650364
0 52 0 2.504506362876
0 53 0 0.882184242390
0 54 0 4.424339310200
0 55 0 3.354684599403
0 56 0 3.729561260123
0 57 0 1.038991791481
0 58 0 7.074504286847
0 59 0 1.395604210138
0 60 0 2.098699669987
0 61 0 1.884025991287
0 62 0 0.367552612600
0 63 0 1.135633426549
0 64 0 0.044876343248
0 65 0 0.348033151613
0 66 0 4.018209172400
0 67 0 0.179063534400
0 68 0 2.356854309826
0 69 0 0.858548513608
0 70 0 0.025992932912
0 71 0 3.960738882714
0 72 0 0.965882338473
0 73 0 9.191846120722
0 74 0 3.262492914361
0 75 0 0.604329933800
0 76 0 5.000912382905
0 77 0 4.965662796052
0 78 0 0.968223273683
0 79 0 1.204966408862
0 80 0 0.344708264927
0 81 0 5.821073554036
0 82 0 0.072091272174
0 83 0 0.412791358573
0 84 0 3.290722327615
0 85 0 1.167259185235
0 86 0 0.096496244233
0 87 0 1.492440894921
0 88 0 3.038456658321
0 89 0 1.526915335553
0 90 0 6.356102968835
0 91 0 0.600239154684
0 92 0 11.127898771752
0 93 0 1.519718384689
0 94 0 0.742344109452
0 95 0 1.879624180949
0 96 0 0.433262011811
0 97 0 0.987133207473
0 98 0 6.005516671451
0 99 0 1.155147625447
0 100 0 1.340387314063
0 101 0 0.613293039671
0 102 0 0.062952662110
1 0 0 0.179177525338
1 2 0 0.005851795663
1 3 0 0.258751044654
1 4 0 0.098595321825
1 5 0 0.444275166098
1 6 0 0.370279998011
1 7 0 0.031045500661
1 8 0 0.016268656459
1 9 0 0.286206002644
1 10 0 0.122190753300
1 11 0 0.043413702332
1 12 0 0.180719759731
1 13 0 0.389888391924
1 14 0 0.517934832459
1 15 0 0.062307121282
1 16 0 0.071380565157
1 17 0 0.397475532701
1 18 0 0.125017634597
1 19 0 0.110461082257
1 20 0 0.067591175467
1 21 0 0.076847349404
1 22 0 0.081028732781
1 23 0 0.129926608582
1 24 0 0.159207136632
1 25 0 0.003237980479
1 26 0 0.033721112932
1 27 0 0.092583461298
1 28 0 0.350645631814
1 29 0 0.085023260645
1 30 0 0.199780981878
1 31 0 0.409383224348
1 32 0 0.131866744064
1 33 0 0.101016513072
1 34 0 0.125730772714
1 35 0 0.084542985721
1 36 0 0.011139011356
1 37 0 0.355777481855
